Gene_ID,Transcript_Name,Type
WBGene00007081,AH6.3.1,coding_transcript
WBGene00005027,AH6.4.1,coding_transcript
WBGene00003231,AH6.5.1,coding_transcript
WBGene00005028,AH6.6.1,coding_transcript
WBGene00005029,AH6.7.1,coding_transcript
WBGene00005030,AH6.8.1,coding_transcript
WBGene00014998,AH9.1.1,coding_transcript
WBGene00000797,AH9.2.1,coding_transcript
WBGene00014999,AH9.3.1,coding_transcript
WBGene00014999,AH9.3.2,coding_transcript
WBGene00015000,AH9.4.1,coding_transcript
WBGene00044701,AH9.6.1,coding_transcript
WBGene00003010,B0001.1a.1,coding_transcript
WBGene00003010,B0001.1b.1,coding_transcript
WBGene00003010,B0001.1c.1,coding_transcript
WBGene00007087,B0001.2.1,coding_transcript
WBGene00007088,B0001.3a.1,coding_transcript
WBGene00007088,B0001.3b.1,coding_transcript
WBGene00007088,B0001.3c.1,coding_transcript
WBGene00007089,B0001.4a.1,coding_transcript
WBGene00007089,B0001.4c.1,coding_transcript
WBGene00007090,B0001.5.1,coding_transcript
WBGene00007091,B0001.6.1,coding_transcript
WBGene00007091,B0001.6.2,coding_transcript
WBGene00007092,B0001.7a.1,coding_transcript
WBGene00007092,B0001.7b.1,coding_transcript
WBGene00007092,B0001.7c.1,coding_transcript
WBGene00007093,B0001.8a.1,coding_transcript
WBGene00007093,B0001.8b.1,coding_transcript
WBGene00007093,B0001.8c.1,coding_transcript
WBGene00007093,B0001.8d.1,coding_transcript
WBGene00007093,B0001.8d.2,coding_transcript
WBGene00007093,B0001.8d.3,coding_transcript
WBGene00007093,B0001.8d.4,coding_transcript
WBGene00000138,B0019.1.1,coding_transcript
WBGene00007094,B0019.2.1,coding_transcript
WBGene00000722,B0024.1.1,coding_transcript
WBGene00007100,B0024.10.1,coding_transcript
WBGene00007101,B0024.11.1,coding_transcript
WBGene00001646,B0024.12.1,coding_transcript
WBGene00007102,B0024.13.1,coding_transcript
WBGene00007103,B0024.14a.1,coding_transcript
WBGene00007103,B0024.14b.1,coding_transcript
WBGene00007103,B0024.14d.1,coding_transcript
WBGene00007103,B0024.14f.1,coding_transcript
WBGene00007104,B0024.15.1,coding_transcript
WBGene00000723,B0024.2.1,coding_transcript
WBGene00007096,B0024.3.1,coding_transcript
WBGene00007097,B0024.4.1,coding_transcript
WBGene00001533,B0024.6a.1,coding_transcript
WBGene00001533,B0024.6b.1,coding_transcript
WBGene00000491,B0024.8a.1,coding_transcript
WBGene00000491,B0024.8b.1,coding_transcript
WBGene00000491,B0024.8c.1,coding_transcript
WBGene00000491,B0024.8d.1,coding_transcript
WBGene00007099,B0024.9a.1,coding_transcript
WBGene00007099,B0024.9b.1,coding_transcript
WBGene00006932,B0025.1a.1,coding_transcript
WBGene00006932,B0025.1c.1,coding_transcript
WBGene00000814,B0025.2.1,coding_transcript
WBGene00000814,B0025.2.2,coding_transcript
WBGene00015001,B0025.4.1,coding_transcript
WBGene00194700,B0025.5.1,coding_transcript
WBGene00015002,B0034.1.1,coding_transcript
WBGene00015002,B0034.1.2,coding_transcript
WBGene00015003,B0034.2.1,coding_transcript
WBGene00000403,B0034.3a.1,coding_transcript
WBGene00000403,B0034.3b.1,coding_transcript
WBGene00000403,B0034.3c.1,coding_transcript
WBGene00000403,B0034.3d.1,coding_transcript
WBGene00015004,B0034.4.1,coding_transcript
WBGene00015005,B0034.5.1,coding_transcript
WBGene00044394,B0034.7.1,coding_transcript
WBGene00001919,B0035.10.1,coding_transcript
WBGene00007110,B0035.11.1,coding_transcript
WBGene00007111,B0035.12.1,coding_transcript
WBGene00007111,B0035.12.2,coding_transcript
WBGene00007112,B0035.13.1,coding_transcript
WBGene00001019,B0035.14a.1,coding_transcript
WBGene00001019,B0035.14b.1,coding_transcript
WBGene00007113,B0035.15.1,coding_transcript
WBGene00007114,B0035.16.1,coding_transcript
WBGene00044290,B0035.18.1,coding_transcript
WBGene00007105,B0035.1a.1,coding_transcript
WBGene00007105,B0035.1b.1,coding_transcript
WBGene00001020,B0035.2.1,coding_transcript
WBGene00235095,B0035.21.1,coding_transcript
WBGene00303031,B0035.22.1,coding_transcript
WBGene00007106,B0035.3.1,coding_transcript
WBGene00007107,B0035.4.1,coding_transcript
WBGene00007108,B0035.5.1,coding_transcript
WBGene00007109,B0035.6.1,coding_transcript
WBGene00001921,B0035.7.1,coding_transcript
WBGene00001922,B0035.8.1,coding_transcript
WBGene00001920,B0035.9.1,coding_transcript
WBGene00015006,B0041.1.1,coding_transcript
WBGene00206362,B0041.11.1,coding_transcript
WBGene00206362,B0041.11.2,coding_transcript
WBGene00303032,B0041.12.1,coding_transcript
WBGene00015007,B0041.2a.1,coding_transcript
WBGene00015007,B0041.2a.2,coding_transcript
WBGene00015007,B0041.2b.1,coding_transcript
WBGene00015007,B0041.2c.1,coding_transcript
WBGene00015007,B0041.2d.1,coding_transcript
WBGene00015007,B0041.2e.1,coding_transcript
WBGene00015007,B0041.2f.1,coding_transcript
WBGene00015007,B0041.2g.1,coding_transcript
WBGene00015008,B0041.3.1,coding_transcript
WBGene00004415,B0041.4.1,coding_transcript
WBGene00015009,B0041.5a.1,coding_transcript
WBGene00015009,B0041.5c.1,coding_transcript
WBGene00015010,B0041.6a.1,coding_transcript
WBGene00015010,B0041.6b.1,coding_transcript
WBGene00006961,B0041.7.1,coding_transcript
WBGene00015011,B0041.8.1,coding_transcript
WBGene00015012,B0047.1.1,coding_transcript
WBGene00015012,B0047.1.2,coding_transcript
WBGene00015014,B0047.3.1,coding_transcript
WBGene00015015,B0047.4.1,coding_transcript
WBGene00006646,B0198.1.1,coding_transcript
WBGene00007115,B0198.2a.1,coding_transcript
WBGene00007115,B0198.2b.1,coding_transcript
WBGene00007115,B0198.2b.2,coding_transcript
WBGene00007116,B0198.3a.1,coding_transcript
WBGene00007116,B0198.3a.2,coding_transcript
WBGene00015024,B0205.10.1,coding_transcript
WBGene00015024,B0205.10.2,coding_transcript
WBGene00015025,B0205.11.1,coding_transcript
WBGene00044413,B0205.12.1,coding_transcript
WBGene00044644,B0205.13.1,coding_transcript
WBGene00044646,B0205.14.1,coding_transcript
WBGene00044646,B0205.14.2,coding_transcript
WBGene00044646,B0205.14.3,coding_transcript
WBGene00015017,B0205.1a.1,coding_transcript
WBGene00015017,B0205.1b.1,coding_transcript
WBGene00015018,B0205.2a.1,coding_transcript
WBGene00015018,B0205.2b.1,coding_transcript
WBGene00004466,B0205.3.1,coding_transcript
WBGene00015019,B0205.4.1,coding_transcript
WBGene00015020,B0205.5.1,coding_transcript
WBGene00015021,B0205.6.1,coding_transcript
WBGene00002191,B0205.7.1,coding_transcript
WBGene00015022,B0205.8.1,coding_transcript
WBGene00015023,B0205.9.1,coding_transcript
WBGene00015026,B0207.1.1,coding_transcript
WBGene00015026,B0207.1.2,coding_transcript
WBGene00015033,B0207.10.1,coding_transcript
WBGene00015034,B0207.11.1,coding_transcript
WBGene00000232,B0207.12a.1,coding_transcript
WBGene00000232,B0207.12a.2,coding_transcript
WBGene00000232,B0207.12a.3,coding_transcript
WBGene00000232,B0207.12b.1,coding_transcript
WBGene00000232,B0207.12c.1,coding_transcript
WBGene00015027,B0207.2.1,coding_transcript
WBGene00015027,B0207.2.2,coding_transcript
WBGene00001676,B0207.3.1,coding_transcript
WBGene00000099,B0207.4.1,coding_transcript
WBGene00000099,B0207.4.2,coding_transcript
WBGene00015028,B0207.5a.1,coding_transcript
WBGene00015028,B0207.5b.1,coding_transcript
WBGene00015029,B0207.6.1,coding_transcript
WBGene00015030,B0207.7.1,coding_transcript
WBGene00015032,B0207.9.1,coding_transcript
WBGene00015032,B0207.9.2,coding_transcript
WBGene00015035,B0212.1a.1,coding_transcript
WBGene00015035,B0212.1b.1,coding_transcript
WBGene00015035,B0212.1c.1,coding_transcript
WBGene00015036,B0212.2.1,coding_transcript
WBGene00015037,B0212.3.1,coding_transcript
WBGene00015038,B0212.4a.1,coding_transcript
WBGene00015038,B0212.4b.1,coding_transcript
WBGene00015038,B0212.4c.1,coding_transcript
WBGene00015038,B0212.4d.1,coding_transcript
WBGene00015038,B0212.4d.2,coding_transcript
WBGene00015038,B0212.4d.3,coding_transcript
WBGene00003889,B0212.5.1,coding_transcript
WBGene00015040,B0213.10.1,coding_transcript
WBGene00015041,B0213.11a.1,coding_transcript
WBGene00015041,B0213.11b.1,coding_transcript
WBGene00015041,B0213.11c.1,coding_transcript
WBGene00015042,B0213.12.1,coding_transcript
WBGene00015043,B0213.14.1,coding_transcript
WBGene00015044,B0213.15a.1,coding_transcript
WBGene00015044,B0213.15b.1,coding_transcript
WBGene00015044,B0213.15c.1,coding_transcript
WBGene00015044,B0213.15d.1,coding_transcript
WBGene00015045,B0213.16.1,coding_transcript
WBGene00015046,B0213.17.1,coding_transcript
WBGene00003765,B0213.2.1,coding_transcript
WBGene00003766,B0213.3.1,coding_transcript
WBGene00003767,B0213.4.1,coding_transcript
WBGene00003768,B0213.5.1,coding_transcript
WBGene00003769,B0213.6.1,coding_transcript
WBGene00006142,B0213.7.1,coding_transcript
WBGene00006141,B0213.8.1,coding_transcript
WBGene00006274,B0213.9.1,coding_transcript
WBGene00015047,B0218.1.1,coding_transcript
WBGene00015047,B0218.1.2,coding_transcript
WBGene00015047,B0218.1.3,coding_transcript
WBGene00015048,B0218.2.1,coding_transcript
WBGene00004055,B0218.3.1,coding_transcript
WBGene00015049,B0218.5.1,coding_transcript
WBGene00015050,B0218.6a.1,coding_transcript
WBGene00015050,B0218.6b.1,coding_transcript
WBGene00015051,B0218.7.1,coding_transcript
WBGene00015052,B0218.8.1,coding_transcript
WBGene00015053,B0222.1.1,coding_transcript
WBGene00044582,B0222.11.1,coding_transcript
WBGene00235316,B0222.15.1,coding_transcript
WBGene00015054,B0222.2.1,coding_transcript
WBGene00015055,B0222.3.1,coding_transcript
WBGene00006418,B0222.4.1,coding_transcript
WBGene00015056,B0222.5.1,coding_transcript
WBGene00000717,B0222.6.1,coding_transcript
WBGene00000718,B0222.7.1,coding_transcript
WBGene00000599,B0222.8.1,coding_transcript
WBGene00015057,B0222.9.1,coding_transcript
WBGene00015059,B0228.1.1,coding_transcript
WBGene00015061,B0228.4a.1,coding_transcript
WBGene00015061,B0228.4c.1,coding_transcript
WBGene00015061,B0228.4d.1,coding_transcript
WBGene00015061,B0228.4e.1,coding_transcript
WBGene00015062,B0228.5a.1,coding_transcript
WBGene00015062,B0228.5b.1,coding_transcript
WBGene00015063,B0228.6.1,coding_transcript
WBGene00015064,B0228.7.1,coding_transcript
WBGene00015064,B0228.7.2,coding_transcript
WBGene00015065,B0228.8.1,coding_transcript
WBGene00015066,B0228.9.1,coding_transcript
WBGene00015067,B0238.1.1,coding_transcript
WBGene00015074,B0238.10.1,coding_transcript
WBGene00015074,B0238.10.2,coding_transcript
WBGene00015075,B0238.11.1,coding_transcript
WBGene00015076,B0238.12.1,coding_transcript
WBGene00015076,B0238.12.2,coding_transcript
WBGene00044537,B0238.15.1,coding_transcript
WBGene00015068,B0238.3.1,coding_transcript
WBGene00015069,B0238.5a.1,coding_transcript
WBGene00015070,B0238.6.1,coding_transcript
WBGene00015071,B0238.7.1,coding_transcript
WBGene00015072,B0238.8.1,coding_transcript
WBGene00015073,B0238.9.1,coding_transcript
WBGene00004359,B0240.1.1,coding_transcript
WBGene00007117,B0240.2.1,coding_transcript
WBGene00000907,B0240.3a.1,coding_transcript
WBGene00000907,B0240.3b.1,coding_transcript
WBGene00007118,B0240.4.1,coding_transcript
WBGene00015085,B0244.10a.1,coding_transcript
WBGene00015085,B0244.10b.1,coding_transcript
WBGene00206513,B0244.15.1,coding_transcript
WBGene00271577,B0244.16.1,coding_transcript
WBGene00271715,B0244.17.1,coding_transcript
WBGene00002048,B0244.2.1,coding_transcript
WBGene00015079,B0244.4a.1,coding_transcript
WBGene00015079,B0244.4b.1,coding_transcript
WBGene00015079,B0244.4c.1,coding_transcript
WBGene00015080,B0244.5.1,coding_transcript
WBGene00015081,B0244.6.1,coding_transcript
WBGene00015082,B0244.7.1,coding_transcript
WBGene00015083,B0244.8.1,coding_transcript
WBGene00015084,B0244.9.1,coding_transcript
WBGene00004413,B0250.1.1,coding_transcript
WBGene00007127,B0250.10.1,coding_transcript
WBGene00206505,B0250.18a.1,coding_transcript
WBGene00206505,B0250.18b.1,coding_transcript
WBGene00007119,B0250.2.1,coding_transcript
WBGene00007122,B0250.5.1,coding_transcript
WBGene00007123,B0250.6.1,coding_transcript
WBGene00007124,B0250.7b.1,coding_transcript
WBGene00007125,B0250.8.1,coding_transcript
WBGene00007126,B0250.9.1,coding_transcript
WBGene00015087,B0252.1.1,coding_transcript
WBGene00305086,B0252.11.1,coding_transcript
WBGene00000211,B0252.2.1,coding_transcript
WBGene00015088,B0252.3a.1,coding_transcript
WBGene00015088,B0252.3a.2,coding_transcript
WBGene00015088,B0252.3a.3,coding_transcript
WBGene00015088,B0252.3a.4,coding_transcript
WBGene00015088,B0252.3b.1,coding_transcript
WBGene00015088,B0252.3c.1,coding_transcript
WBGene00000886,B0252.4a.1,coding_transcript
WBGene00000886,B0252.4b.1,coding_transcript
WBGene00015089,B0252.5.1,coding_transcript
WBGene00044615,B0252.8.1,coding_transcript
WBGene00015091,B0261.1.1,coding_transcript
WBGene00002583,B0261.2a.1,coding_transcript
WBGene00002583,B0261.2b.1,coding_transcript
WBGene00015092,B0261.4a.1,coding_transcript
WBGene00015092,B0261.4b.1,coding_transcript
WBGene00015093,B0261.5.1,coding_transcript
WBGene00015094,B0261.6a.1,coding_transcript
WBGene00015094,B0261.6b.1,coding_transcript
WBGene00015095,B0261.7.1,coding_transcript
WBGene00015096,B0261.8.1,coding_transcript
WBGene00195057,B0261.9.1,coding_transcript
WBGene00006538,B0272.1.1,coding_transcript
WBGene00007128,B0272.2.1,coding_transcript
WBGene00007129,B0272.3.1,coding_transcript
WBGene00007130,B0272.4.1,coding_transcript
WBGene00206473,B0273.115.1,coding_transcript
WBGene00015097,B0273.1a.1,coding_transcript
WBGene00015097,B0273.1a.2,coding_transcript
WBGene00015097,B0273.1b.1,coding_transcript
WBGene00004243,B0273.2.1,coding_transcript
WBGene00015098,B0273.3.1,coding_transcript
WBGene00006745,B0273.4a.1,coding_transcript
WBGene00006745,B0273.4b.1,coding_transcript
WBGene00006745,B0273.4c.1,coding_transcript
WBGene00006745,B0273.4d.1,coding_transcript
WBGene00006745,B0273.4d.2,coding_transcript
WBGene00006745,B0273.4e.1,coding_transcript
WBGene00006745,B0273.4f.1,coding_transcript
WBGene00015105,B0280.10a.1,coding_transcript
WBGene00015105,B0280.10b.1,coding_transcript
WBGene00015105,B0280.10b.2,coding_transcript
WBGene00015105,B0280.10b.3,coding_transcript
WBGene00015105,B0280.10c.1,coding_transcript
WBGene00015106,B0280.11.1,coding_transcript
WBGene00001613,B0280.12a.1,coding_transcript
WBGene00001613,B0280.12b.1,coding_transcript
WBGene00015107,B0280.13.1,coding_transcript
WBGene00044674,B0280.17.1,coding_transcript
WBGene00015099,B0280.1a.1,coding_transcript
WBGene00015099,B0280.1b.1,coding_transcript
WBGene00015099,B0280.1b.2,coding_transcript
WBGene00015100,B0280.2.1,coding_transcript
WBGene00015101,B0280.3.1,coding_transcript
WBGene00015101,B0280.3.2,coding_transcript
WBGene00003845,B0280.4.1,coding_transcript
WBGene00015102,B0280.5.1,coding_transcript
WBGene00015103,B0280.7.1,coding_transcript
WBGene00003609,B0280.8.1,coding_transcript
WBGene00015104,B0280.9.1,coding_transcript
WBGene00015108,B0281.1.1,coding_transcript
WBGene00015110,B0281.3.1,coding_transcript
WBGene00015111,B0281.4.1,coding_transcript
WBGene00015112,B0281.5a.1,coding_transcript
WBGene00015112,B0281.5b.1,coding_transcript
WBGene00015113,B0281.6.1,coding_transcript
WBGene00015114,B0281.8a.1,coding_transcript
WBGene00015114,B0281.8b.1,coding_transcript
WBGene00015114,B0281.8c.1,coding_transcript
WBGene00015114,B0281.8d.1,coding_transcript
WBGene00007131,B0284.1.1,coding_transcript
WBGene00007132,B0284.2.1,coding_transcript
WBGene00007133,B0284.3.1,coding_transcript
WBGene00007134,B0284.4.1,coding_transcript
WBGene00000513,B0285.10.1,coding_transcript
WBGene00007135,B0285.1a.1,coding_transcript
WBGene00007135,B0285.1a.2,coding_transcript
WBGene00007135,B0285.1b.1,coding_transcript
WBGene00007135,B0285.1b.2,coding_transcript
WBGene00007135,B0285.1c.1,coding_transcript
WBGene00007135,B0285.1c.2,coding_transcript
WBGene00007136,B0285.3.1,coding_transcript
WBGene00007137,B0285.4.1,coding_transcript
WBGene00002003,B0285.5.1,coding_transcript
WBGene00002003,B0285.5.2,coding_transcript
WBGene00002003,B0285.5.3,coding_transcript
WBGene00007138,B0285.6.1,coding_transcript
WBGene00007139,B0285.7.1,coding_transcript
WBGene00000511,B0285.8.1,coding_transcript
WBGene00000512,B0285.9.1,coding_transcript
WBGene00015115,B0286.1.1,coding_transcript
WBGene00015115,B0286.1.2,coding_transcript
WBGene00002252,B0286.2a.1,coding_transcript
WBGene00002252,B0286.2b.1,coding_transcript
WBGene00015116,B0286.3.1,coding_transcript
WBGene00003825,B0286.4a.1,coding_transcript
WBGene00003825,B0286.4b.1,coding_transcript
WBGene00003825,B0286.4c.1,coding_transcript
WBGene00003825,B0286.4c.2,coding_transcript
WBGene00003825,B0286.4c.3,coding_transcript
WBGene00003825,B0286.4c.4,coding_transcript
WBGene00003825,B0286.4c.5,coding_transcript
WBGene00003825,B0286.4c.6,coding_transcript
WBGene00003825,B0286.4c.7,coding_transcript
WBGene00003825,B0286.4c.8,coding_transcript
WBGene00003825,B0286.4c.9,coding_transcript
WBGene00003825,B0286.4d.1,coding_transcript
WBGene00001438,B0286.5.1,coding_transcript
WBGene00023425,B0286.6.1,coding_transcript
WBGene00015117,B0294.1.1,coding_transcript
WBGene00015118,B0294.3.1,coding_transcript
WBGene00002207,B0302.1a.1,coding_transcript
WBGene00002207,B0302.1b.1,coding_transcript
WBGene00015119,B0302.2.1,coding_transcript
WBGene00015121,B0302.4.1,coding_transcript
WBGene00015122,B0302.5.1,coding_transcript
WBGene00015131,B0303.11a.1,coding_transcript
WBGene00015131,B0303.11a.2,coding_transcript
WBGene00015131,B0303.11b.1,coding_transcript
WBGene00015132,B0303.14.1,coding_transcript
WBGene00015133,B0303.15.1,coding_transcript
WBGene00044678,B0303.16.1,coding_transcript
WBGene00015124,B0303.2.1,coding_transcript
WBGene00015124,B0303.2.2,coding_transcript
WBGene00015125,B0303.3.1,coding_transcript
WBGene00015125,B0303.3.2,coding_transcript
WBGene00015126,B0303.4.1,coding_transcript
WBGene00015126,B0303.4.2,coding_transcript
WBGene00015128,B0303.7a.1,coding_transcript
WBGene00015128,B0303.7b.1,coding_transcript
WBGene00015129,B0303.8.1,coding_transcript
WBGene00015130,B0303.9.1,coding_transcript
WBGene00001948,B0304.1a.1,coding_transcript
WBGene00001948,B0304.1a.2,coding_transcript
WBGene00001948,B0304.1b.1,coding_transcript
WBGene00001948,B0304.1c.1,coding_transcript
WBGene00015134,B0304.2.1,coding_transcript
WBGene00015135,B0304.3.1,coding_transcript
WBGene00015136,B0304.4.1,coding_transcript
WBGene00005058,B0304.5.1,coding_transcript
WBGene00005058,B0304.5.2,coding_transcript
WBGene00005059,B0304.6.1,coding_transcript
WBGene00005060,B0304.7.1,coding_transcript
WBGene00005061,B0304.8.1,coding_transcript
WBGene00005062,B0304.9.1,coding_transcript
WBGene00015137,B0310.1a.1,coding_transcript
WBGene00015137,B0310.1b.1,coding_transcript
WBGene00015138,B0310.2a.1,coding_transcript
WBGene00015138,B0310.2b.1,coding_transcript
WBGene00015139,B0310.3.1,coding_transcript
WBGene00015139,B0310.3.2,coding_transcript
WBGene00015139,B0310.3.3,coding_transcript
WBGene00015141,B0310.5a.1,coding_transcript
WBGene00015141,B0310.5b.1,coding_transcript
WBGene00015142,B0310.6.1,coding_transcript
WBGene00007140,B0331.1.1,coding_transcript
WBGene00007141,B0331.2.1,coding_transcript
WBGene00007142,B0334.1.1,coding_transcript
WBGene00007148,B0334.10.1,coding_transcript
WBGene00003868,B0334.11a.1,coding_transcript
WBGene00003868,B0334.11b.1,coding_transcript
WBGene00007149,B0334.13.1,coding_transcript
WBGene00195248,B0334.15.1,coding_transcript
WBGene00195248,B0334.15.2,coding_transcript
WBGene00006660,B0334.2.1,coding_transcript
WBGene00219293,B0334.20.1,coding_transcript
WBGene00007143,B0334.3a.1,coding_transcript
WBGene00007143,B0334.3b.1,coding_transcript
WBGene00007144,B0334.4.1,coding_transcript
WBGene00007145,B0334.5.1,coding_transcript
WBGene00007146,B0334.6.1,coding_transcript
WBGene00005267,B0334.7.1,coding_transcript
WBGene00000090,B0334.8a.1,coding_transcript
WBGene00000090,B0334.8b.1,coding_transcript
WBGene00004435,B0336.10.1,coding_transcript
WBGene00004435,B0336.10.2,coding_transcript
WBGene00015148,B0336.11a.1,coding_transcript
WBGene00015148,B0336.11b.1,coding_transcript
WBGene00015149,B0336.12.1,coding_transcript
WBGene00015150,B0336.13.1,coding_transcript
WBGene00006943,B0336.1a.1,coding_transcript
WBGene00006943,B0336.1b.1,coding_transcript
WBGene00000182,B0336.2.1,coding_transcript
WBGene00000182,B0336.2.2,coding_transcript
WBGene00015143,B0336.3a.1,coding_transcript
WBGene00015143,B0336.3b.1,coding_transcript
WBGene00015143,B0336.3c.1,coding_transcript
WBGene00015143,B0336.3d.1,coding_transcript
WBGene00004348,B0336.4a.1,coding_transcript
WBGene00004348,B0336.4b.1,coding_transcript
WBGene00015145,B0336.5a.1,coding_transcript
WBGene00015145,B0336.5b.1,coding_transcript
WBGene00015146,B0336.6.1,coding_transcript
WBGene00015146,B0336.6.2,coding_transcript
WBGene00015147,B0336.7a.1,coding_transcript
WBGene00015147,B0336.7b.1,coding_transcript
WBGene00002982,B0336.8.1,coding_transcript
WBGene00006359,B0336.9a.1,coding_transcript
WBGene00006359,B0336.9b.1,coding_transcript
WBGene00006359,B0336.9b.2,coding_transcript
WBGene00006359,B0336.9b.3,coding_transcript
WBGene00006359,B0336.9b.4,coding_transcript
WBGene00006359,B0336.9b.5,coding_transcript
WBGene00006359,B0336.9b.6,coding_transcript
WBGene00006359,B0336.9c.1,coding_transcript
WBGene00006359,B0336.9c.2,coding_transcript
WBGene00006359,B0336.9d.1,coding_transcript
WBGene00006359,B0336.9e.1,coding_transcript
WBGene00006359,B0336.9e.2,coding_transcript
WBGene00006359,B0336.9e.3,coding_transcript
WBGene00006955,B0344.2.1,coding_transcript
WBGene00015151,B0348.1.1,coding_transcript
WBGene00255704,B0348.10.1,coding_transcript
WBGene00015152,B0348.2a.1,coding_transcript
WBGene00015152,B0348.2b.1,coding_transcript
WBGene00001177,B0348.4a.1,coding_transcript
WBGene00001177,B0348.4b.1,coding_transcript
WBGene00001177,B0348.4c.1,coding_transcript
WBGene00001177,B0348.4d.1,coding_transcript
WBGene00001177,B0348.4e.1,coding_transcript
WBGene00001177,B0348.4f.1,coding_transcript
WBGene00001177,B0348.4g.1,coding_transcript
WBGene00001177,B0348.4h.1,coding_transcript
WBGene00001177,B0348.4i.1,coding_transcript
WBGene00001177,B0348.4j.1,coding_transcript
WBGene00001177,B0348.4k.1,coding_transcript
WBGene00001177,B0348.4l.1,coding_transcript
WBGene00001177,B0348.4m.1,coding_transcript
WBGene00001177,B0348.4n.1,coding_transcript
WBGene00001177,B0348.4o.1,coding_transcript
WBGene00001177,B0348.4p.1,coding_transcript
WBGene00001177,B0348.4q.1,coding_transcript
WBGene00001177,B0348.4r.1,coding_transcript
WBGene00001177,B0348.4s.1,coding_transcript
WBGene00001177,B0348.4t.1,coding_transcript
WBGene00001177,B0348.4u.1,coding_transcript
WBGene00001177,B0348.4v.1,coding_transcript
WBGene00001177,B0348.4w.1,coding_transcript
WBGene00001177,B0348.4x.1,coding_transcript
WBGene00001177,B0348.4y.1,coding_transcript
WBGene00015153,B0348.5a.1,coding_transcript
WBGene00015153,B0348.5b.1,coding_transcript
WBGene00002061,B0348.6a.1,coding_transcript
WBGene00002061,B0348.6b.1,coding_transcript
WBGene00002061,B0348.6c.1,coding_transcript
WBGene00006780,B0350.2a.1,coding_transcript
WBGene00006780,B0350.2b.1,coding_transcript
WBGene00006780,B0350.2c.1,coding_transcript
WBGene00006780,B0350.2d.1,coding_transcript
WBGene00006780,B0350.2e.1,coding_transcript
WBGene00006780,B0350.2f.1,coding_transcript
WBGene00006780,B0350.2h.1,coding_transcript
WBGene00006780,B0350.2i.1,coding_transcript
WBGene00006780,B0350.2j.1,coding_transcript
WBGene00015155,B0353.1a.1,coding_transcript
WBGene00015155,B0353.1b.1,coding_transcript
WBGene00015155,B0353.1c.1,coding_transcript
WBGene00015155,B0353.1c.2,coding_transcript
WBGene00015155,B0353.1d.1,coding_transcript
WBGene00015155,B0353.1e.1,coding_transcript
WBGene00015155,B0353.1e.2,coding_transcript
WBGene00015164,B0361.10.1,coding_transcript
WBGene00015164,B0361.10.2,coding_transcript
WBGene00015165,B0361.11.1,coding_transcript
WBGene00303033,B0361.14.1,coding_transcript
WBGene00015156,B0361.2a.1,coding_transcript
WBGene00015156,B0361.2b.1,coding_transcript
WBGene00015157,B0361.3.1,coding_transcript
WBGene00015158,B0361.4.1,coding_transcript
WBGene00015159,B0361.5a.1,coding_transcript
WBGene00015159,B0361.5b.1,coding_transcript
WBGene00015160,B0361.6.1,coding_transcript
WBGene00015161,B0361.7.1,coding_transcript
WBGene00015161,B0361.7.2,coding_transcript
WBGene00015162,B0361.8.1,coding_transcript
